origin_region,dest_region,vol,suppliers,ifr,delivery_rel,avg_direct_gain,avg_o2d_actual,avg_mi_actual_to_cust,pct_of_directs
Midwest,Southeast,7589,730,0.9078930030307023,0.8575569903808143,0.8749628763241284,4.825757869362002,94.33109764132296,0.013049810761408051
Midwest,West Coast,6873,639,0.8686163247490178,0.8863669431107232,0.953319085894813,7.246326203986614,98.60804597701149,0.011818599204527281
Northeast,Mountain,6843,1596,0.9054508256612597,0.8664328510887038,0.9424478043742742,7.127721759462224,130.49229869940086,0.011767012128121663
South Central,Southeast,6733,1065,0.8961829793554137,0.8517748403386306,0.8910397518250998,4.355776688614948,90.99099955443337,0.011577859514634394
Midwest,Northeast,5714,635,0.9049702485124256,0.8636681834091705,0.9014045331074374,4.624745207848628,68.86372068603431,0.009825618486056873
South Central,West Coast,5686,688,0.890784382694337,0.8357368976433345,0.9448392685859955,5.7014833180340245,100.39460077383048,0.009777470548078296
Midwest,South Central,4825,551,0.9083937823834197,0.8480829015544041,0.8572513966490565,5.077305699481865,134.17811398963732,0.008296921455237034
South Central,Florida,4360,915,0.8623853211009175,0.8403669724770643,0.8594573837697395,4.551376146788991,143.53316513761467,0.007497321770949941
Midwest,Mid-Atlantic,4071,589,0.9096045197740112,0.868828297715549,0.8568054805444896,4.528031043744772,104.59056742815032,0.0070003662682424795
South Central,Mountain,3994,792,0.8968452679018528,0.827741612418628,0.9259668127927778,4.378400934735437,94.03169754631948,0.006867959438801392
South Central,Northeast,3421,716,0.9029523531131248,0.8149663840982169,0.9407804805006506,4.919029523531131,90.1937152879275,0.005882646279454071
Midwest,Florida,3401,480,0.8953249044398707,0.8412231696559835,0.8649618772726668,5.350069672602688,154.77674213466625,0.005848254895183659
Midwest,Mountain,3060,452,0.9016339869281046,0.8588235294117647,0.9314160177870674,6.283660130718954,108.68833333333333,0.0052618817933731245
Midwest,Midwest,2874,458,0.9116214335421016,0.8677800974251914,0.8554518773031236,4.184064022268615,76.56802366040363,0.004942041919658287
South Central,Mid-Atlantic,2733,692,0.9001097694840834,0.8090010976948409,0.9156908931237532,4.990120746432492,113.81858763263813,0.004699582660551879
Northeast,Mid-Atlantic,1897,622,0.8835002635740643,0.8808645229309436,0.761845885378736,4.445440168687401,117.0677385345282,0.0032620227980486327
South Central,South Central,1849,517,0.8723634396971336,0.879394267171444,0.7095323825722204,3.6538669551108707,144.83244997295836,0.0031794834757996426
Mountain,West Coast,1727,134,0.8778228141285466,0.8477127967573828,0.8504144742908281,4.11138944135344,108.7078170237406,0.002969696031750126
Mid-Atlantic,West Coast,1725,487,0.8939130434782608,0.9113043478260869,0.9188374312754496,6.663768115942029,218.7838260869565,0.002966256893323085
Florida,West Coast,1657,210,0.8744719372359686,0.9197344598672299,0.9418078879921734,7.955944477972239,162.2640313820157,0.002849326186803682
Florida,Southeast,1482,201,0.9385964912280702,0.8832658569500674,0.8452077345846964,4.374493927125506,99.70816464237517,0.0025484015744375718
Florida,Midwest,1447,186,0.9163787145818936,0.806496199032481,0.9359313711411493,5.385625431928127,78.6884588804423,0.00248821665196435
Florida,Northeast,1356,187,0.9262536873156342,0.8576696165191741,0.9288527578807098,5.160029498525073,84.51165191740414,0.002331735853533973
Mid-Atlantic,Midwest,1231,248,0.9203899268887084,0.8350934199837531,0.8751205491577312,4.503360165423529,94.09845653939887,0.002116789701843894
Mid-Atlantic,Southeast,1222,321,0.9075286415711947,0.8297872340425532,0.8081323315436796,4.083469721767594,118.89975450081833,0.0021013135789222084
Mid-Atlantic,Florida,1155,283,0.9125541125541126,0.8554112554112554,0.8189626433141408,4.003463203463204,171.37627705627708,0.0019861024416163264
Florida,South Central,1048,162,0.924618320610687,0.8606870229007634,0.9110241024603742,5.512404580152672,107.68940839694656,0.001802108535769619
Mountain,Midwest,990,124,0.8929292929292929,0.8737373737373737,0.9487749352719713,6.4646464646464645,85.1409090909091,0.0017023735213854225
Mid-Atlantic,South Central,917,260,0.9138495092693566,0.8342420937840785,0.866920226287516,4.591057797164668,177.0019629225736,0.0015768449687984167
Mountain,Northeast,854,109,0.8899297423887588,0.9133489461358314,0.9698284947013744,7.427400468384075,70.82693208430914,0.001468512108346617
Mountain,Southeast,850,118,0.8764705882352941,0.8470588235294118,0.952463696697589,6.8094117647058825,99.09635294117646,0.0014616338314925345
Florida,Mid-Atlantic,771,161,0.9351491569390402,0.8404669260700389,0.8749924620569828,4.428015564202335,114.29961089494164,0.0013257878636244048
Mid-Atlantic,Mountain,739,308,0.8985115020297699,0.8755074424898511,0.8638009873934163,5.679296346414073,281.41014884979705,0.0012707616487917447
Mountain,Florida,696,86,0.8045977011494253,0.8936781609195402,0.9380024747595798,6.977011494252873,148.10301724137932,0.0011968201726103576
Florida,Mountain,681,141,0.8898678414096917,0.9074889867841409,0.9540791663426261,7.488986784140969,107.2352422907489,0.0011710266344075481
Mountain,South Central,603,87,0.9137645107794361,0.8805970149253731,0.8982374165470423,5.1011608623548925,130.18059701492538,0.0010369002357529392
Mountain,Mountain,598,86,0.8946488294314381,0.882943143812709,0.8955546326379761,3.9063545150501673,69.26772575250834,0.0010283023896853361
Mountain,Mid-Atlantic,550,92,0.8909090909090909,0.8909090909090909,0.9592594342811119,6.765454545454546,93.98727272727272,0.0009457630674363459
West Coast,Unknown,492,360,0.8943089430894309,0.8333333333333334,0.8543962820202029,5.445121951219512,136.20975609756098,0.0008460280530521493
Northeast,Northeast,491,198,0.869653767820774,0.890020366598778,0.7168564217985316,4.505091649694501,129.891649694501,0.0008443084838386288
Northeast,Unknown,225,174,0.8933333333333333,0.8844444444444445,0.8619314484427795,5.88,151.97288888888886,0.0003869030730421415
Southeast,Unknown,206,120,0.7766990291262136,0.8592233009708737,0.8890746865807916,6.868932038834951,137.05922330097087,0.00035423125798524953
Mid-Atlantic,Northeast,164,20,0.9573170731707317,0.9512195121951219,0.8279300917819509,3.4878048780487805,76.66219512195123,0.00028200935101738313
Midwest,Unknown,117,58,0.8717948717948718,0.7863247863247863,0.8663957258867565,6.256410256410256,136.64102564102566,0.00020118959798191358
South Central,Unknown,80,47,0.85,0.75,0.8832430079512246,5.6125,136.85125,0.00013756553708165031
Florida,Florida,31,19,0.967741935483871,0.8387096774193549,0.6289979441359023,4.0,204.17741935483872,5.330664561913949e-05
Mid-Atlantic,Unknown,21,19,0.8571428571428571,0.8095238095238095,0.8092556936649079,5.9523809523809526,361.73809523809524,3.6110953483933204e-05
Mountain,Unknown,20,12,0.9,0.9,0.8830496921167855,4.25,104.345,3.439138427041258e-05
Florida,Unknown,13,9,0.7692307692307693,0.6153846153846154,0.7904283907676732,5.153846153846154,171.8153846153846,2.2354399775768174e-05
Mid-Atlantic,Mid-Atlantic,2,2,1.0,1.0,0.6330968184939345,4.0,160.3,3.4391384270412577e-06
