candidate_bucket,supplier_id,su_name,parent_su_name,own_state,city_name,postal_code,address_1,assigned_hub,assigned_state,bucket_vol,avg_gain,ifr,delivery_rel,n_hubs,sample_hubs,total_vol,top_hub,top_hub_state,top_hub_vol,top_hub_share,bucket_share_of_total,rn
jumbo,36423,NFusion GA 31407,"GigaCloud Trading, Inc.",GA,Savannah,31407,425 Jimmy Deloach Parkway,SAVANNAH,GA,2704,-0.20974672850466308,0.26331360946745597,0.5876479289940829,41,Braselton (GA); Fort Wayne (IN); Harrisburg (PA); Carlisle (PA); Goodyear Rsf (AZ),14046,West Savannah  Ncpc,GA,5733,0.40815890645023495,0.19251032322369357,1
jumbo,302637,"GigaCloud Trading, Inc. GA 31302","GigaCloud Trading, Inc.",GA,Bloomingdale,31302,3001 Jimmy Deloach Parkway,SAVANNAH,GA,2515,0.01159209675999703,0.39522862823061683,0.7749502982107364,45,Lehigh Valley (PA); Aurora Local (CO); Albany (NY); Binghamton (NY); Billings (MT),11354,West Savannah  Ncpc,GA,3486,0.3070283600493218,0.2215078386471728,2
jumbo,291275, 美南SAV自营仓,YEEYOO INTERNATIONAL LIMITED,GA,Savannah,31407,150 Knowlton Way Savannah,HAGERSTOWN,MD,1035,-0.10554758956023179,0.7091787439613523,0.47439613526570096,42,Portland (OR); Leesburg (VA); Olive Branch (MS); Van Buren Rsf (MI); Aurora (CO),6309,West Savannah  Ncpc,GA,2449,0.38817562212712,0.16405135520684735,3
jumbo,22696,Surya GA 30184 (1 Surya Dr),Surya,GA,White,30184,1 Surya Drive,MARIETTA LOCAL,GA,1011,0.10442836544864942,0.9821958456973301,0.8832838773491587,48,Kansas City (MO); Toledo (OH); West Columbus (OH); Cedar Rapids (IA); North Kansas City Ncpc (MO),113269,Marietta,GA,48213,0.42565044275132646,0.00892565485702178,4
jumbo,35069,JLA Home GA 31407 - SV2,JLA Home,GA,Port Wentworth,31407,550 Northport Pkwy,SAVANNAH,GA,842,-0.14024396142067969,0.9061757719714961,0.7505938242280278,71,Murfreesboro (TN); Phoenix (AZ); Hagerstown (MD); North Pittsburgh (PA); Denver (CO),38354,Savannah,GA,31952,0.8330812953016634,0.02195338165510768,5
misshipping,302333,NW Investment Inc TX 75041,NW Investment Inc,TX,Garland,75041,3422 W Kingsley Rd,MESQUITE,TX,3485,0.44852422511345774,0.9337159253945484,0.9030129124820666,9,Stockton Rsf (CA); Diamond Bar Rsf (CA); King Of Prussia (PA); Fresno (CA); Sacramento (CA),9822,South Dallas Rsf,TX,4082,0.41559763795560983,0.35481571981266546,1
misshipping,292469,Baishi NJ 08810 Bedshe,"Bedshe International Co.,LTD",NJ,Dayton ,08810,11 Corn Rd ,PRINCETON,NJ,2385,-1.347133906596094,0.9740041928721177,0.2566037735849053,32,Sacramento (CA); Arcadia (CA); South Rialto - Ncpc (CA); Lubbock (TX); Tyler (TX),14800,East Brunswick,NJ,8435,0.5699324324324324,0.16114864864864864,2
misshipping,34657,Unique Loom SC29707,Unique Loom,SC,Fort Mill,29707,793 Fort Mill Highway,FORT MILL,SC,1869,0.7255852853443236,0.864098448368112,0.897271268057785,25,Rialto Local (CA); Burbank (CA); San Jose (CA); Santa Maria (CA); Fresno (CA),42380,Fort Mill,SC,31883,0.7523124115148655,0.04410099103350637,3
misshipping,22696,Surya GA 30184 (1 Surya Dr),Surya,GA,White,30184,1 Surya Drive,MARIETTA LOCAL,GA,1596,0.9631112481164302,0.9479949874686716,0.8195488721804502,40,Chino Local (CA); Hayward (CA); Arcadia (CA); Oceanside (CA); Bishop (CA),113269,Marietta,GA,48213,0.42565044275132646,0.014090351287642692,4
misshipping,350373,York Wallcoverings PA 17408,York Wallcoverings,PA,York,17408,2075 Loucks Road,HARRISBURG LOCAL,PA,1575,0.24810116884905728,0.9136507936507934,0.9180952380952397,5,Mansfield (OH); Toledo (OH); Groveport  (OH); Cincinnati (OH); Columbus (OH),15579,Harrisburg Local,PA,5211,0.3344887348353553,0.10109763142692085,5
